Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
12/2018,119,14,0,0,0
11/2018,118,19,0,0,0
10/2018,115,16,0,0,0
09/2018,106,25,0,0,0
08/2018,118,13,0,0,0
07/2018,114,17,0,0,0
06/2018,115,17,0,0,0
05/2018,114,18,0,0,0
04/2018,118,14,0,0,0
03/2018,114,18,0,0,0
01/2018,105,28,0,0,0
02/2018,105,27,0,0,0
52/2017,103,24,0,0,0
08/2017,101,20,0,7,0
51/2017,97,30,0,0,0
07/2017,102,19,0,0,0
06/2017,109,12,0,0,0
50/2017,108,19,0,0,0
05/2017,99,18,0,4,0
49/2017,112,15,0,0,0
04/2017,96,15,0,10,0
48/2017,112,15,0,0,0
47/2017,113,14,0,0,0
03/2017,98,13,0,10,0
46/2017,113,14,0,0,0
02/2017,95,16,0,10,0
45/2017,115,12,0,0,0
01/2017,97,14,0,10,0
44/2017,110,17,0,0,0
43/2017,109,18,0,0,0
42/2017,99,28,0,0,0
41/2017,101,26,0,0,0
40/2017,95,32,0,0,0
39/2017,97,30,0,0,0
38/2017,98,29,0,0,0
37/2017,107,20,0,0,0
36/2017,94,33,0,0,0
35/2017,102,25,0,0,0
34/2017,95,32,0,0,0
33/2017,93,34,0,0,0
32/2017,89,38,0,0,0
31/2017,84,43,0,0,0
30/2017,84,43,0,0,0
29/2017,85,42,0,0,0
28/2017,73,54,0,0,0
27/2017,86,41,0,0,0
26/2017,81,41,0,5,0
25/2017,79,43,0,5,0
24/2017,82,40,0,5,0
23/2017,80,42,0,5,0
22/2017,83,39,0,0,0
21/2017,82,40,0,0,0
20/2017,94,28,0,0,0
19/2017,97,25,0,0,0
18/2017,80,41,0,1,0
17/2017,97,24,0,1,0
16/2017,95,26,0,1,0
15/2017,97,24,0,1,0
14/2017,86,35,0,0,0
13/2017,104,17,0,0,0
12/2017,100,21,0,0,0
11/2017,92,17,0,7,0
10/2017,108,13,0,7,0
09/2017,95,20,0,7,0
52/2016,101,14,0,0,0
51/2016,98,17,0,0,0
50/2016,97,18,0,0,0
49/2016,91,24,0,0,0
48/2016,89,26,0,0,0
47/2016,81,34,0,0,0
46/2016,119,25,0,0,0
45/2016,93,22,0,0,0
44/2016,91,24,0,0,0
43/2016,100,15,0,0,0
42/2016,90,25,0,0,0
41/2016,97,18,0,0,0
40/2016,98,17,0,0,0
39/2016,90,25,0,0,0
38/2016,89,26,0,0,0
37/2016,89,26,0,0,0
36/2016,87,28,0,0,0
35/2016,83,32,0,0,0
34/2016,92,23,0,0,0
33/2016,93,22,0,0,0
32/2016,95,20,0,0,0
31/2016,89,33,0,0,0
30/2016,79,39,0,4,0
29/2016,95,23,0,4,0
28/2016,86,34,0,8,0
27/2016,77,41,0,4,0
26/2016,90,25,0,1,0
25/2016,93,28,0,1,0
24/2016,91,30,0,1,0
23/2016,101,20,0,1,0
22/2016,101,20,0,0,0
21/2016,99,22,0,0,0
20/2016,86,41,0,1,0
19/2016,99,22,0,1,0
18/2016,96,25,0,1,0
17/2016,88,24,0,10,0
16/2016,83,28,0,10,0
15/2016,95,17,0,10,0
14/2016,94,18,0,10,0
13/2016,94,18,0,1,0
12/2016,99,14,0,0,0
11/2016,97,16,0,0,0
10/2016,96,17,0,0,0
09/2016,93,20,0,0,0
08/2016,84,29,0,0,0
07/2016,86,27,0,0,0
06/2016,86,27,0,0,0
05/2016,81,34,0,4,0
04/2016,83,30,0,0,0
03/2016,83,30,0,0,0
02/2016,83,30,0,0,0
01/2016,80,27,0,6,0
52/2015,85,22,0,6,0
51/2015,91,16,0,6,0
50/2015,89,18,0,6,0
49/2015,95,12,0,0,0
48/2015,95,12,0,0,0
47/2015,95,12,0,0,0
46/2015,97,10,0,0,0
45/2015,91,16,0,0,0
44/2015,93,14,0,0,0
43/2015,91,16,0,0,0
42/2015,93,14,0,0,0
41/2015,90,17,0,0,0
40/2015,94,13,0,0,0
39/2015,89,18,0,0,0
38/2015,81,26,0,0,0
37/2015,82,25,0,0,0
36/2015,77,30,0,0,0
35/2015,78,29,0,0,0
34/2015,82,25,0,0,0
33/2015,76,31,0,0,0
32/2015,74,33,0,0,0
31/2015,74,33,0,0,0
30/2015,62,45,0,0,0
29/2015,61,46,0,0,0
28/2015,62,45,0,0,0
27/2015,58,49,0,0,0
26/2015,59,48,0,0,0
25/2015,67,40,0,0,0
24/2015,68,39,0,0,0
23/2015,59,48,0,0,0
22/2015,61,46,0,0,0
21/2015,50,57,0,0,0
20/2015,49,58,0,0,0
19/2015,59,48,0,0,0
18/2015,60,47,0,0,0
17/2015,58,49,0,0,0
16/2015,83,24,0,0,0
15/2015,83,24,0,0,0
14/2015,87,20,0,0,0
13/2015,86,21,0,0,0
12/2015,82,25,0,0,0
11/2015,103,32,0,0,0
10/2015,73,34,0,0,0
09/2015,80,27,0,0,0
08/2015,80,27,0,0,0
07/2015,81,26,0,0,0
06/2015,90,17,0,0,0
05/2015,87,20,0,0,0
04/2015,88,19,0,0,0
03/2015,91,16,0,0,0
02/2015,88,19,0,0,0
01/2015,91,16,0,0,0
53/2014,68,11,0,0,0
47/2014,72,35,0,0,0
46/2014,86,21,0,0,0
52/2014,66,13,0,0,0
51/2014,63,16,0,0,0
45/2014,89,18,0,0,0
44/2014,90,17,0,0,0
50/2014,64,15,0,0,0
43/2014,90,17,0,0,0
49/2014,64,15,0,0,0
42/2014,91,16,0,0,0
48/2014,60,19,0,0,0
41/2014,89,18,0,0,0
40/2014,90,17,0,0,0
39/2014,91,16,0,0,0
38/2014,85,22,0,0,0
37/2014,86,19,0,2,0
36/2014,88,17,0,2,0
35/2014,84,21,0,2,0
34/2014,45,16,0,46,0
33/2014,38,23,0,45,0
32/2014,38,24,0,44,0
31/2014,35,27,0,44,0
30/2014,41,21,0,0,0
29/2014,37,25,0,0,0
28/2014,16,19,0,27,0
27/2014,33,29,0,0,0
26/2014,33,29,0,0,0
25/2014,36,26,0,0,0
24/2014,34,28,0,0,0
23/2014,39,23,0,0,0
22/2014,34,28,0,0,0
21/2014,32,30,0,0,0
20/2014,10,25,0,27,0
19/2014,39,23,0,0,0
18/2014,37,29,0,0,0
17/2014,51,15,0,0,0
16/2014,48,18,0,0,0
15/2014,55,27,0,20,0
14/2014,49,33,0,20,0
13/2014,34,19,0,49,0
12/2014,29,24,0,49,0
11/2014,36,29,0,29,0
10/2014,34,31,0,49,0
07/2014,19,30,0,45,0
09/2014,37,28,0,20,0
08/2014,29,36,0,20,0
01/2014,19,19,19,27,2
06/2014,37,40,0,19,0
04/2014,25,19,0,46,0
